horizonte,rmse,mae,rsq,n_folds,wflow_id,modelo
target_30d,0.061426638200299644,0.04847260796178813,-0.02579352079154562,39,arima,arima
target_5d,0.01565648742281396,0.012212238588983498,0.054828489093946664,39,arima,arima
target_90d,0.10042718757027304,0.07856048804203312,-0.2413325797511634,39,arima,arima
