skim_type,skim_variable,n_missing,complete_rate,Date.min,Date.max,Date.median,Date.n_unique,character.min,character.max,character.empty,character.n_unique,character.whitespace,numeric.mean,numeric.sd,numeric.p0,numeric.p25,numeric.p50,numeric.p75,numeric.p100,numeric.hist
numeric,resultado_primario,524,0.8706811451135241,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7808815192743763,4.8280307835686775,-6.32,-1.08,1.51,2.82,31.06,▇▇▁▁▁
numeric,desemprego_pnad_trimestral,543,0.8659921026653504,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.680621259618125,2.810101618741764,5.1,7.2,8.9,12.1,14.9,▆▇▂▇▃
numeric,pim_geral,20,0.9950641658440277,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.97852182539683,10.833664924936523,60.3,79.2,88.4,97.5,112.6,▁▇▆▆▅
numeric,breakeven_10y,131,0.967670286278381,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0726906401428207,0.34313423094400536,0.5,1.83,2.15,2.32,2.98,▁▁▅▇▁
numeric,breakeven_5y,131,0.967670286278381,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.933282325937261,0.4657598730057622,0.14,1.62,1.91,2.26,3.59,▁▂▇▃▁
numeric,us_hy_spread,3389,0.1636229022704837,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.240497737556561,0.4603406326913323,2.59,2.88,3.15,3.5,4.61,▇▇▂▃▁
numeric,consumer_sentiment_us,20,0.9950641658440277,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.08499503968254,13.749873026182645,50,69.7,77.2,93.1,101.4,▃▅▇▅▇
numeric,minerio_ferro,20,0.9950641658440277,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.79461685323349,36.8150257441953,40.88260869565217,82.9047619047619,107.7954545454545,136.3238095238095,215.8157894736842,▆▇▇▃▁
numeric,soja,20,0.9950641658440277,NA,NA,NA,NA,NA,NA,NA,NA,NA,426.02350147375483,85.24361371433353,309.994349,355.90210275,390.23121675,499.7727758863636,622.9135497717391,▇▃▃▅▁
numeric,target_5d,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001347657175424081,0.020091319384931847,-0.08866024435827692,-0.010340539032280117,8.902180184131431e-4,0.012751195262696116,0.10585145089930292,▁▃▇▁▁
numeric,target_30d,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007850358880541218,0.04940949164177207,-0.14109524086113007,-0.023938837416193452,0.004475797099081361,0.03657438423166759,0.22369385147419787,▁▇▇▁▁
numeric,target_90d,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023281816059691002,0.0850144915640554,-0.22186633707148645,-0.03434869486826318,0.0133141631352648,0.07361964949605194,0.3896324083300057,▁▇▆▂▁
