horizonte,n,media,dp,min,p25,mediana,p75,max,skew,pct_alta
D+5,4052,0.001347657175424081,0.020091319384931847,-0.08866024435827692,-0.010340539032280117,8.902180184131431e-4,0.012751195262696116,0.10585145089930292,0.022767999863364356,0.5246791707798618
D+30,4052,0.007850358880541218,0.04940949164177207,-0.14109524086113007,-0.023938837416193452,0.004475797099081361,0.03657438423166759,0.22369385147419787,0.06829784459079345,0.547137216189536
D+90,4052,0.023281816059691002,0.0850144915640554,-0.22186633707148645,-0.03434869486826318,0.0133141631352648,0.07361964949605194,0.3896324083300057,0.11724651575332813,0.5693484698914116
