feature,target,cor,n
ibovespa,target_90d,-0.0786594537724022,3998
sp500,target_90d,-0.15018553965396597,3947
nasdaq,target_90d,-0.1698959071066991,3947
vix,target_90d,-0.16469460208908288,3947
core_cpi_us,target_90d,-0.11643347480675131,114
cpi_us,target_90d,-0.09632172306497044,114
desemprego_us,target_90d,0.023551929310931412,114
dxy_fred,target_90d,-0.1771779864563605,3893
fed_funds,target_90d,-0.03928704791582282,115
pce_us,target_90d,-0.10614096575558515,115
sofr,target_90d,-0.027766657661741825,1916
treasury_10y,target_90d,-0.12934706823945202,3921
treasury_2y,target_90d,-0.09977901281087198,3921
vix_fred,target_90d,-0.16430993905757227,3973
cdi_diario,target_90d,-0.13853626691350684,3519
fluxo_cambial,target_90d,0.1717605142659795,100
reservas_intl,target_90d,0.24532464131628687,3519
selic_diaria,target_90d,-0.13630543164739514,3519
selic_meta,target_90d,-0.1398511760612931,3519
ipca_acum12m,target_90d,-0.19591489017266328,4032
ipca_mensal,target_90d,-0.0920226050724402,4032
focus_cambio,target_90d,-0.22177379005550246,4052
focus_ipca,target_90d,-0.16395664325043457,4052
focus_pib_total,target_90d,0.004007766327951776,4052
focus_selic,target_90d,-0.2435607489743871,4052
ipca_variacao_mensal,target_90d,-0.04647154582568399,4032
ipca_variacao_acumulada_no_ano,target_90d,-0.16796950928035914,4032
ipca_variacao_acumulada_em_3_meses,target_90d,-0.1413302483665984,4032
ipca_variacao_acumulada_em_6_meses,target_90d,-0.08176187526109635,4032
ipca_variacao_acumulada_em_12_meses,target_90d,-0.1429587233278268,4032
balanca_comercial_bcb,target_90d,-0.1841279733779901,3528
dbgg_pib,target_90d,-0.21351293074176295,3528
desemprego_br,target_90d,-0.030343703353351608,3509
ibc_br,target_90d,-0.23597481777253435,3528
resultado_nominal,target_90d,-0.0841213309242033,3528
resultado_primario,target_90d,-0.00476558487969495,3528
desemprego_pnad_trimestral,target_90d,-0.030343703353351608,3509
pim_geral,target_90d,0.15258469435831634,4032
breakeven_10y,target_90d,-0.05145535469669959,3921
breakeven_5y,target_90d,-0.12120401311670767,3921
us_hy_spread,target_90d,0.19517488184465306,663
consumer_sentiment_us,target_90d,0.2789279290652583,4032
minerio_ferro,target_90d,-0.050376420135368485,4032
soja,target_90d,-0.043883772125327104,4032
