horizonte,modelo,rmse_tuned,rmse_tuned_se,rmse_baseline,melhora_pct
target_5d,enet,0.020914724123760355,0.0010705764724916664,NA,NA
target_5d,rf,0.02242979798894528,0.0012316485646940122,NA,NA
target_30d,rf,0.049695857323640416,0.004571863141854667,NA,NA
target_30d,xgb,0.04974630548382917,0.004748023746911294,NA,NA
target_90d,rf,0.06900849164376396,0.006162175293815543,NA,NA
target_90d,xgb,0.06884300086780311,0.006475612609082321,NA,NA
