variavel,n_obs,pct_miss,inicio
saldo_cambial,0,1,NA
us_hy_spread,663,0.8363770977295163,2023-07-03
pim_geral,4032,0.004935834155972359,2010-02-01
sofr,1916,0.527147087857848,2018-04-03
